customer_id,signup_date,city,age,gender,acquisition_channel,is_prime_member
C100070,06-11-2024,Chennai,23,F,Instagram Ads,0
C100071,08-12-2024,Mumbai,29,F,Google Ads,0
C100072,16-01-2025,Delhi,27,M,Instagram Ads,0
C100073,04-06-2025,Delhi,18,M,Offline Banner,1
C100074,23-04-2024,Mumbai,33,M,Offline Banner,0
C100075,13-06-2025,Delhi,32,F,Organic,0
C100076,29-10-2025,Bengaluru,40,M,Organic,1
C100077,22-01-2025,Delhi,18,M,Google Ads  ,1
C100078,02-04-2024,Bengaluru,25,F,Instagram Ads  ,0
C100079,05-03-2024,Delhi,40,M,Influencer  ,1
C100080,20-02-2025,Mumbai,35,M,Referral,0
C100081,20-05-2025,Bengaluru,36,M,Organic,1
C100082,16-06-2024,Delhi,42,M,Organic,0
C100083,12-09-2024,Mumbai,,F,Google Ads,1
C100084,30-04-2025,Mumbai,24,F,Instagram Ads,0
C100085,27-04-2025,Delhi,37,M,Influencer,0
C100086,24-02-2025,Bengaluru,36,F,Referral,0
C100087,24-09-2025,Bengaluru,29,M,Influencer,1
C100088,03-01-2025,Bengaluru,29,F,Google Ads,1
C100089,11-01-2025,Delhi,23,F,Instagram Ads,0
C100090,09-10-2024,Mumbai,43,F,Instagram Ads,0
C100091,24-12-2024,Delhi,47,M,Organic,0
C100092,04-02-2025,Bengaluru,39,M,Referral,0
C100093,18-08-2025,Mumbai,36,F,Google Ads,1
C100094,27-05-2025,Mumbai,35,M,Referral,0
C100095,07-07-2025,Hyderabad,33,F,Referral,0
C100096,06-06-2024,Delhi,18,M,Instagram Ads,0
C100097,24-12-2024,Chennai,27,M,Google Ads,0
C100098,12-11-2024,Delhi,37,F,Google Ads,0
C100099,20-04-2025,Hyderabad,24,F,Google Ads,0
C100100,27-11-2025,Mumbai,32,F,Referral  ,0
C100101,13-12-2024,Pune,40,M,Instagram Ads,0
C100102,03-10-2024,Delhi,40,M,Google Ads,0
C100103,12-03-2025,Mumbai,38,M,Google Ads,0
C100104,16-12-2024,Mumbai,33,F,Google Ads,1
C100105,30-11-2024,Chennai,37,F,Offline Banner,0
C100106,17-04-2025,Chennai,29,F,Instagram Ads  ,1
C100107,30-03-2025,Delhi,44,M,Organic,0
C100108,08-08-2024,Bengaluru,18,Other,Instagram Ads,0
C100109,27-03-2024,Bengaluru,31,F,Influencer,0
C100110,09-03-2025,Delhi,27,F,Offline Banner,0
C100111,17-08-2024,Delhi,36,M,Google Ads,1
C100112,03-08-2024,Chennai,28,M,Influencer,1
C100113,28-02-2024,Mumbai,50,F,Google Ads,0
C100114,02-10-2025,Delhi,38,F,Instagram Ads,1
C100115,02-09-2025,Delhi,23,M,Google Ads,0
C100116,11-08-2025,Mumbai,18,M,Google Ads,0
C100117,02-07-2025,Bengaluru,21,F,Google Ads,0
C100118,30-05-2025,Mumbai,35,F,Google Ads,0
C100119,09-12-2025,Mumbai,28,M,Google Ads,0
C100120,16-01-2025,Delhi,26,M,Organic,0
C100121,03-07-2024,Mumbai,25,F,Google Ads,1
C100122,01-07-2025,Delhi,37,F,Instagram Ads,1
C100123,02-04-2025,Pune,28,M,Referral,1
C100124,10-06-2024,Delhi,27,M,Referral,0
C100125,31-10-2024,Hyderabad,38,F,Instagram Ads,0
C100126,04-10-2025,Mumbai,43,M,Instagram Ads,1
C100127,11-04-2025,Mumbai,22,M,Referral,0
C100128,12-10-2025,Mumbai,40,F,Instagram Ads,1
C100129,12-10-2024,Hyderabad,30,M,Influencer,0
C100130,27-06-2025,Pune,38,M,Instagram Ads,0
C100131,24-09-2025,Mumbai,36,M,Instagram Ads,0
C100132,20-09-2025,Delhi,31,F,Referral,1
C100133,23-10-2024,Hyderabad,31,M,Offline Banner,0
C100134,28-04-2025,Delhi,36,M,Organic,1
C100135,09-05-2025,Bengaluru,22,M,Google Ads  ,0
C100136,01-03-2024,Delhi,21,M,Instagram Ads,0
C100137,24-04-2025,Bengaluru,47,F,Referral,0
C100138,10-09-2025,Bengaluru,40,F,Instagram Ads  ,0
C100139,07-10-2025,Delhi,38,F,Organic,0
C100140,12-08-2025,Bengaluru,29,M,Referral,1
C100141,26-05-2025,Mumbai,18,M,Google Ads,0
C100142,12-09-2025,Delhi,,M,Instagram Ads,0
C100143,03-11-2024,Mumbai,34,M,Organic,1
C100144,08-12-2025,Bengaluru,40,M,Referral,0
C100145,17-09-2025,Delhi,34,M,Influencer,0
C100146,02-01-2025,Chennai,34,F,Google Ads,0
C100147,27-12-2024,Bengaluru,29,F,Organic,0
C100148,02-03-2025,Delhi,36,F,Instagram Ads,0
C100149,17-06-2025,Pune,23,M,Google Ads,0
C100150,30-09-2025,Mumbai,31,F,Organic,0
C100151,14-12-2025,Bengaluru,29,M,Influencer,1
C100152,17-12-2024,Mumbai,42,M,Google Ads,1
C100153,18-09-2024,Hyderabad,18,M,Influencer,0
C100154,21-10-2024,Hyderabad,29,M,Organic,0
C100155,22-09-2024,Bengaluru,32,M,Google Ads,0
C100156,13-06-2025,Delhi,18,M,Influencer,0
C100157,22-12-2024,Delhi,36,M,Referral,1
C100158,04-12-2024,Mumbai,29,F,Organic,0
C100159,05-01-2025,Delhi,23,M,Referral,1
C100160,12-11-2024,Mumbai,39,M,Referral,0
C100161,29-08-2024,Hyderabad,25,M,Influencer,0
C100162,23-12-2025,Pune,37,M,Google Ads,0
C100163,29-09-2024,Mumbai,32,F,Instagram Ads,0
C100164,01-06-2025,Delhi,27,M,Influencer,0
C100165,12-12-2024,Pune,22,F,Influencer,1
C100166,08-05-2025,Pune,25,F,Google Ads,0
C100167,10-11-2025,Mumbai,38,F,Instagram Ads,0
C100168,21-10-2024,Delhi,40,M,Organic,0
C100169,30-07-2024,Hyderabad,36,M,Instagram Ads,0
C100170,06-03-2025,Hyderabad,,F,Google Ads  ,0
C100171,17-06-2024,Delhi,36,F,Instagram Ads,1
C100172,10-08-2024,Bengaluru,33,F,Referral,1
C100173,27-12-2025,Bengaluru,26,F,Instagram Ads,0
C100174,26-07-2025,Mumbai,23,F,Organic,0
C100175,20-08-2024,Hyderabad,28,M,Organic,1
C100176,14-10-2025,Mumbai,25,F,Referral,0
C100177,04-10-2024,Bengaluru,32,F,Instagram Ads,0
C100178,03-02-2025,Bengaluru,43,F,Instagram Ads,0
C100179,10-10-2024,Delhi,33,F,Google Ads,0
C100180,02-06-2025,Bengaluru,42,F,Referral,0
C100181,12-08-2025,Hyderabad,31,M,Organic,0
C100182,21-09-2024,Chennai,29,M,Instagram Ads,0
C100183,01-07-2024,Mumbai,18,M,Organic,1
C100184,10-05-2025,Delhi,36,F,Organic,0
C100185,20-04-2024,Chennai,25,F,Referral,0
C100186,05-03-2025,Bengaluru,24,F,Google Ads,1
C100187,18-03-2025,Chennai,22,M,Influencer,0
C100188,25-02-2025,Delhi,33,M,Influencer,0
C100189,22-03-2025,Mumbai,26,M,Offline Banner,1
C100190,05-01-2025,Delhi,44,M,Google Ads  ,0
C100191,27-06-2024,Pune,39,M,Offline Banner,1
C100192,09-05-2025,Pune,26,M,Instagram Ads,1
C100193,30-12-2024,Bengaluru,18,M,Google Ads,1
C100194,13-07-2025,Delhi,31,F,Referral,0
C100195,17-04-2025,Delhi,,F,Referral,1
C100196,15-05-2025,Bengaluru,38,M,Organic,0
C100197,12-12-2024,Bengaluru,31,M,Instagram Ads,0
C100198,01-12-2024,Hyderabad,40,Other,Influencer,0
C100199,16-12-2025,Mumbai,34,F,Referral,1
C100200,28-12-2025,Mumbai,,M,Offline Banner,0
C100201,30-10-2025,Delhi,25,M,Instagram Ads,1
C100202,05-05-2025,Bengaluru,27,M,Organic,0
C100203,27-02-2025,Mumbai,29,M,Google Ads,1
C100204,25-04-2024,Chennai,28,M,Referral,1
C100205,21-06-2025,Bengaluru,36,M,Organic,0
C100206,12-10-2024,Mumbai,35,F,Instagram Ads,1
C100207,20-05-2024,Mumbai,27,M,Instagram Ads,0
C100208,20-04-2025,Pune,36,F,Organic,1
C100209,25-12-2025,Delhi,21,M,Referral,1
C100210,27-05-2024,Mumbai,36,F,Instagram Ads,0
C100211,14-04-2025,Chennai,37,F,Referral,0
C100212,26-02-2025,Bengaluru,33,F,Referral,0
C100213,19-05-2025,Bengaluru,35,M,Organic,0
C100214,07-08-2025,Delhi,36,M,Instagram Ads,0
C100215,12-10-2024,Pune,39,M,Referral,0
C100216,10-12-2024,Delhi,36,F,Organic,0
C100217,24-06-2025,Delhi,,M,Organic,0
C100218,11-09-2024,Delhi,18,M,Influencer,1
C100219,20-06-2024,Delhi,32,M,Referral  ,0
C100220,18-04-2025,Chennai,30,M,Google Ads,0
C100221,04-02-2025,Bengaluru,32,F,Instagram Ads,0
C100222,21-03-2025,Bengaluru,38,M,Google Ads,0
C100223,20-10-2025,Chennai,32,M,Instagram Ads,1
C100224,03-08-2025,Delhi,31,F,Influencer,0
C100225,28-01-2025,Delhi,34,F,Influencer,0
C100226,10-04-2025,Bengaluru,18,M,Google Ads,0
C100227,29-07-2024,Bengaluru,43,M,Google Ads,0
C100228,27-04-2024,Mumbai,30,F,Instagram Ads,0
C100229,13-03-2025,Delhi,42,F,Influencer,0
C100230,02-07-2025,Mumbai,24,M,Influencer,0
C100231,01-10-2025,Mumbai,23,F,Google Ads,0
C100232,10-10-2025,Mumbai,,F,Organic,1
C100233,10-10-2025,Delhi,31,M,Google Ads,0
C100234,05-09-2025,Mumbai,26,M,Instagram Ads,0
C100235,27-11-2024,Mumbai,24,F,Instagram Ads  ,0
C100236,21-11-2024,Mumbai,33,M,Referral,1
C100237,18-12-2024,Chennai,,M,Instagram Ads,1
C100238,28-01-2025,Chennai,44,M,Instagram Ads,0
C100239,11-04-2025,Bengaluru,28,M,Instagram Ads,1
C100240,21-06-2024,Chennai,22,M,Google Ads,1
C100241,22-10-2025,Chennai,28,F,Organic,0
C100242,11-09-2024,Mumbai,44,F,Instagram Ads,0
C100243,16-01-2025,Mumbai,39,M,Influencer,0
C100244,13-03-2025,Chennai,34,M,Google Ads,0
C100245,13-03-2025,Bengaluru,27,F,Google Ads,0
C100246,10-08-2025,Delhi,38,M,Instagram Ads,0
C100247,10-07-2024,Hyderabad,49,F,Google Ads,1
C100248,24-11-2024,Delhi,29,F,Instagram Ads,1
C100249,19-11-2025,Mumbai,18,F,Google Ads,0
C100250,01-10-2024,Delhi,22,M,Influencer,0
C100251,22-12-2024,Delhi,31,M,Organic,0
C100252,22-04-2025,Delhi,29,M,Influencer,0
C100253,29-05-2025,Pune,41,M,Instagram Ads,1
C100254,07-02-2025,Mumbai,26,F,Referral,0
C100255,26-07-2025,Delhi,29,F,Instagram Ads,0
C100256,20-04-2025,Delhi,25,F,Organic,0
C100257,24-08-2024,Bengaluru,37,M,Offline Banner,0
C100258,06-09-2024,Chennai,24,F,Influencer,0
C100259,18-05-2025,Delhi,29,M,Instagram Ads,0
C100260,13-12-2024,Delhi,18,F,Google Ads,0
C100261,23-08-2025,Mumbai,26,M,Instagram Ads  ,1
C100262,20-10-2024,Bengaluru,,M,Instagram Ads,0
C100263,09-09-2025,Mumbai,45,F,Instagram Ads,1
C100264,02-03-2025,Mumbai,36,F,Google Ads,0
C100265,26-11-2025,Mumbai,34,F,Google Ads  ,1
C100266,06-04-2025,Mumbai,25,M,Google Ads,0
C100267,30-07-2025,Chennai,32,F,Google Ads,0
C100268,19-12-2024,Delhi,32,F,Organic,0
C100269,21-03-2024,Delhi,31,F,Instagram Ads,0
C100270,28-02-2025,Pune,37,F,Instagram Ads,1
C100271,29-11-2024,Pune,23,F,Organic,0
C100272,28-12-2024,Delhi,51,M,Referral,0
C100273,27-04-2024,Chennai,43,M,Instagram Ads,1
C100274,19-08-2025,Hyderabad,24,M,Influencer,0
C100275,14-12-2025,Mumbai,,F,Google Ads,1
C100276,05-09-2024,Mumbai,26,M,Google Ads,0
C100277,18-10-2025,Mumbai,36,M,Google Ads,1
C100278,27-03-2025,Delhi,30,F,Google Ads,0
C100279,14-10-2024,Mumbai,18,M,Referral,0
C100280,23-05-2025,Bengaluru,23,M,Google Ads,0
C100281,22-07-2025,Pune,41,F,Google Ads,1
C100282,14-06-2025,Mumbai,29,M,Offline Banner,0
C100283,10-11-2024,Mumbai,29,M,Google Ads,0
C100284,09-07-2025,Mumbai,36,M,Organic  ,0
C100285,22-07-2024,Bengaluru,38,M,Google Ads,0
C100286,29-11-2024,Hyderabad,30,M,Google Ads,0
C100287,13-08-2024,Mumbai,18,F,Instagram Ads,1
C100288,21-08-2025,Bengaluru,24,F,Organic,0
C100289,09-10-2024,Mumbai,18,M,Organic,0
C100290,13-05-2024,Hyderabad,19,M,Instagram Ads,1
C100291,23-05-2025,Delhi,31,M,Instagram Ads,1
C100292,05-06-2025,Delhi,31,M,Offline Banner,0
C100293,09-08-2024,Mumbai,41,F,Influencer,0
C100294,08-08-2025,Pune,30,M,Referral,1
C100295,22-02-2025,Bengaluru,23,F,Referral,0
C100296,01-12-2024,Chennai,40,F,Influencer,0
C100297,21-02-2024,Delhi,45,F,Instagram Ads,0
C100298,19-06-2025,Mumbai,38,M,Organic,0
C100299,12-05-2025,Mumbai,30,M,Referral,1
C100300,21-04-2025,Bengaluru,28,M,Organic,0
C100301,18-09-2025,Pune,21,F,Instagram Ads,0
C100302,02-04-2024,Pune,24,M,Referral,1
C100303,29-12-2024,Bengaluru,27,M,Referral,1
C100304,06-11-2025,Bengaluru,20,F,Influencer,0
C100305,25-08-2024,Chennai,28,M,Organic,0
C100306,19-04-2025,Mumbai,28,M,Influencer,1
C100307,15-05-2024,Pune,41,M,Influencer,0
C100308,23-06-2025,Chennai,18,M,Google Ads,0
C100309,30-03-2025,Bengaluru,32,F,Instagram Ads,0
C100310,12-07-2025,Hyderabad,,M,Organic,1
C100311,27-05-2025,Mumbai,18,F,Influencer,1
C100312,11-10-2025,Delhi,27,F,Instagram Ads  ,0
C100313,19-11-2025,Bengaluru,,M,Referral,1
C100314,25-04-2024,Delhi,41,M,Instagram Ads,1
C100315,29-04-2025,Mumbai,28,M,Instagram Ads,1
C100316,22-09-2024,Pune,26,F,Organic,1
C100317,26-12-2024,Delhi,25,F,Organic,1
C100318,15-09-2024,Delhi,26,M,Organic,0
C100319,13-09-2024,Bengaluru,18,M,Influencer,0
C100320,22-11-2024,Mumbai,24,F,Instagram Ads,1
C100321,15-10-2024,Mumbai,37,M,Instagram Ads,1
C100322,10-09-2025,Mumbai,18,F,Influencer,1
C100323,05-08-2024,Delhi,27,F,Referral  ,0
C100324,29-03-2025,Delhi,28,F,Google Ads,0
C100325,06-03-2024,Pune,36,F,Organic,0
C100326,04-03-2025,Delhi,31,F,Influencer,1
C100327,31-10-2025,Mumbai,34,F,Organic,0
C100328,19-02-2024,Chennai,,F,Influencer,1
C100329,09-02-2025,Pune,18,M,Google Ads,0
C100330,12-09-2025,Delhi,26,M,Google Ads,0
C100331,02-09-2025,Bengaluru,29,F,Influencer,0
C100332,14-05-2024,Hyderabad,40,M,Organic,0
C100333,15-01-2025,Hyderabad,19,F,Instagram Ads,1
C100334,06-02-2025,Hyderabad,47,F,Referral  ,1
C100335,27-05-2024,Mumbai,32,M,Organic,0
C100336,29-09-2024,Delhi,24,M,Instagram Ads,1
C100337,13-01-2025,Mumbai,24,M,Organic,0
C100338,01-05-2025,Bengaluru,29,M,Instagram Ads,1
C100339,16-01-2025,Bengaluru,30,F,Google Ads,0
C100340,01-08-2024,Delhi,31,M,Organic,0
C100341,24-03-2024,Delhi,36,F,Instagram Ads,1
C100342,14-04-2025,Chennai,25,M,Instagram Ads,0
C100343,06-05-2025,Delhi,31,F,Influencer,0
C100344,13-10-2025,Mumbai,28,M,Organic,1
C100345,24-04-2024,Hyderabad,44,M,Referral,0
C100346,12-10-2024,Mumbai,18,M,Instagram Ads,0
C100347,06-08-2025,Delhi,48,M,Google Ads,0
C100348,25-08-2025,Mumbai,23,F,Referral,1
C100349,05-12-2025,Bengaluru,22,F,Instagram Ads,0
C100350,02-03-2024,Mumbai,28,M,Referral,0
C100351,22-07-2025,Chennai,32,M,Google Ads,0
C100352,30-05-2025,Mumbai,28,F,Referral,0
C100353,22-11-2025,Bengaluru,35,F,Instagram Ads,0
C100354,03-06-2024,Delhi,27,M,Instagram Ads,0
C100355,02-08-2024,Mumbai,25,M,Offline Banner,0
C100356,18-03-2025,Hyderabad,23,M,Offline Banner,1
C100357,10-10-2024,Delhi,41,M,Google Ads,0
C100358,24-10-2025,Bengaluru,34,M,Influencer,0
C100359,05-11-2025,Delhi,21,M,Organic,0
C100360,03-04-2025,Delhi,27,M,Instagram Ads,1
C100361,08-10-2025,Bengaluru,20,M,Google Ads,1
C100362,27-01-2025,Bengaluru,52,M,Google Ads,1
C100363,15-06-2025,Delhi,32,M,Referral,0
C100364,17-11-2024,Chennai,18,M,Referral,1
C100365,05-04-2025,Delhi,20,M,Offline Banner,0
C100366,06-07-2025,Delhi,20,M,Influencer,0
C100367,08-12-2024,Delhi,33,M,Influencer,0
C100368,21-02-2025,Delhi,18,F,Influencer,0
C100369,29-05-2025,Delhi,20,M,Influencer,0
C100370,25-11-2024,Hyderabad,28,F,Google Ads,1
C100371,20-07-2025,Bengaluru,30,M,Instagram Ads,1
C100372,23-06-2025,Mumbai,26,M,Referral,0
C100373,22-02-2025,Chennai,27,F,Organic,1
C100374,24-04-2025,Mumbai,19,M,Google Ads,0
C100375,12-12-2025,Delhi,34,M,Influencer,0
C100376,29-08-2024,Mumbai,18,M,Offline Banner,1
C100377,06-02-2025,Delhi,29,M,Referral,0
C100378,25-04-2025,Bengaluru,45,M,Referral,0
C100379,27-05-2025,Mumbai,28,F,Influencer,0
C100380,09-12-2024,Bengaluru,19,M,Instagram Ads,0
C100381,05-06-2025,Bengaluru,30,F,Instagram Ads,0
C100382,15-09-2025,Hyderabad,28,M,Influencer,0
C100383,05-10-2024,Hyderabad,32,M,Organic,0
C100384,21-04-2025,Delhi,32,F,Google Ads,0
C100385,23-04-2024,Delhi,38,M,Influencer,0
C100386,14-06-2024,Bengaluru,26,Other,Google Ads,0
C100387,09-07-2025,Delhi,24,M,Organic,0
C100388,24-02-2025,Delhi,24,M,Organic,0
C100389,17-11-2025,Bengaluru,25,M,Instagram Ads,0
C100390,19-06-2025,Mumbai,33,M,Google Ads,0
C100391,04-12-2024,Hyderabad,19,M,Offline Banner,0
C100392,25-01-2025,Mumbai,23,M,Instagram Ads,0
C100393,30-01-2025,Chennai,31,M,Instagram Ads,0
C100394,29-11-2024,Hyderabad,40,M,Referral,0
C100395,19-07-2024,Delhi,23,M,Instagram Ads,0
C100396,30-06-2025,Bengaluru,33,F,Influencer,0
C100397,28-07-2025,Bengaluru,29,M,Instagram Ads,0
C100398,06-12-2025,Hyderabad,35,F,Organic,0
C100399,24-04-2025,Bengaluru,31,M,Google Ads,0
C100400,27-09-2025,Bengaluru,31,M,Influencer,1
C100401,13-01-2025,Mumbai,51,F,Referral,0
C100402,03-02-2025,Mumbai,54,F,Google Ads,0
C100403,12-11-2025,Chennai,28,F,Offline Banner,0
C100404,06-09-2025,Mumbai,23,F,Instagram Ads,0
C100405,09-08-2025,Delhi,32,M,Referral,0
C100406,05-06-2024,Delhi,35,M,Offline Banner,0
C100407,04-05-2025,Pune,,F,Organic,0
C100408,19-10-2025,Bengaluru,18,M,Organic  ,0
C100409,16-08-2025,Hyderabad,27,F,Instagram Ads,0
C100410,25-07-2025,Pune,26,F,Instagram Ads,1
C100411,17-10-2025,Pune,24,F,Instagram Ads,0
C100412,01-08-2024,Bengaluru,19,F,Offline Banner,0
C100413,31-01-2025,Delhi,29,F,Offline Banner,1
C100414,19-10-2025,Delhi,36,M,Google Ads,0
C100415,13-10-2025,Bengaluru,21,M,Google Ads,0
C100416,04-03-2024,Mumbai,31,M,Instagram Ads,0
C100417,28-03-2024,Bengaluru,34,F,Google Ads,0
C100418,21-12-2024,Bengaluru,44,M,Google Ads,0
C100419,01-05-2025,Bengaluru,36,F,Organic,1
C100420,10-11-2024,Delhi,30,F,Influencer,1
C100421,28-01-2025,Delhi,33,F,Organic,0
C100422,12-10-2024,Hyderabad,37,M,Organic,0
C100423,13-04-2025,Delhi,,F,Organic,0
C100424,21-03-2024,Bengaluru,37,M,Organic,0
C100425,02-09-2025,Bengaluru,28,F,Referral,1
C100426,22-03-2025,Chennai,40,M,Google Ads,0
C100427,15-07-2025,Pune,26,F,Google Ads,0
C100428,11-04-2024,Mumbai,25,M,Organic,0
C100429,09-01-2025,Bengaluru,27,F,Offline Banner,1
C100430,06-11-2025,Delhi,23,M,Referral,0
C100431,26-01-2025,Mumbai,37,F,Offline Banner,1
C100432,23-08-2025,Hyderabad,18,M,Instagram Ads,0
C100433,16-04-2025,Bengaluru,27,F,Influencer,0
C100434,02-10-2024,Bengaluru,33,M,Influencer,0
C100435,20-09-2024,Delhi,31,F,Organic,0
C100436,09-01-2025,Pune,30,M,Offline Banner,0
C100437,15-09-2024,Mumbai,29,M,Referral,0
C100438,27-11-2025,Pune,,F,Google Ads,0
C100439,08-06-2025,Bengaluru,22,F,Instagram Ads,0
C100440,30-05-2025,Mumbai,27,F,Referral  ,0
C100441,19-09-2024,Delhi,28,F,Offline Banner,1
C100442,02-07-2025,Delhi,34,M,Instagram Ads,1
C100443,24-12-2024,Pune,38,M,Organic,1
C100444,19-11-2025,Pune,29,M,Organic,0
C100445,08-08-2025,Bengaluru,36,M,Instagram Ads,0
C100446,06-08-2025,Mumbai,31,M,Instagram Ads,0
C100447,28-10-2025,Bengaluru,30,F,Google Ads,0
C100448,21-06-2025,Mumbai,37,M,Google Ads,1
C100449,17-06-2025,Bengaluru,19,M,Instagram Ads,0
C100450,08-07-2025,Mumbai,34,F,Instagram Ads,0
C100451,04-09-2024,Pune,25,M,Instagram Ads,1
C100452,19-11-2024,Hyderabad,39,M,Organic  ,0
C100453,26-05-2025,Mumbai,25,M,Organic,1
C100454,31-07-2024,Pune,,F,Organic,0
C100455,07-09-2025,Bengaluru,18,M,Referral,0
C100456,23-04-2025,Delhi,33,F,Offline Banner,1
C100457,07-10-2025,Delhi,27,M,Influencer,1
C100458,16-03-2025,Hyderabad,26,M,Offline Banner,1
C100459,16-05-2025,Pune,,M,Google Ads,1
C100460,15-10-2024,Pune,18,F,Influencer,1
C100461,22-08-2025,Bengaluru,25,F,Organic,0
C100462,04-08-2024,Delhi,29,M,Google Ads,0
C100463,09-08-2025,Delhi,42,M,Instagram Ads,0
C100464,13-08-2024,Mumbai,32,M,Organic  ,0
C100465,02-08-2024,Pune,34,M,Instagram Ads,0
C100466,27-03-2025,Chennai,31,F,Google Ads,1
C100467,24-12-2024,Delhi,58,M,Referral,0
C100468,31-08-2024,Hyderabad,38,M,Organic,0
C100469,23-09-2025,Bengaluru,18,F,Offline Banner,1
C100470,23-10-2024,Delhi,32,M,Referral,0
C100471,09-04-2025,Bengaluru,39,F,Organic,1
C100472,05-12-2025,Pune,19,F,Google Ads,1
C100473,16-03-2025,Mumbai,31,M,Organic,0
C100474,17-01-2025,Pune,26,M,Google Ads,0
C100475,18-04-2024,Delhi,24,M,Influencer,0
C100476,06-05-2025,Delhi,,F,Google Ads,0
C100477,24-04-2025,Delhi,25,F,Referral,0
C100478,17-12-2024,Pune,25,M,Google Ads,0
C100479,02-11-2024,Mumbai,23,F,Influencer,1
C100480,09-12-2025,Hyderabad,22,F,Offline Banner,0
C100481,25-08-2024,Bengaluru,26,M,Google Ads,0
C100482,18-08-2024,Bengaluru,26,M,Referral,1
C100483,27-03-2025,Pune,21,F,Organic,0
C100484,26-05-2025,Mumbai,30,M,Influencer,0
C100485,17-02-2025,Pune,18,F,Referral,0
C100486,08-03-2025,Delhi,31,F,Instagram Ads,0
