date,channel,city,spend_inr,impressions,clicks
05-01-2024,Influencer,Pune,372.52,14249,374
05-01-2024,Influencer,Chennai,258.32,14053,234
05-01-2024,Offline Banner,Delhi,851.92,46843,1152
05-01-2024,Offline Banner,Mumbai,729.82,32768,657
05-01-2024,Offline Banner,Bengaluru,718.76,24337,560
05-01-2024,Offline Banner,Hyderabad,367,12190,380
05-01-2024,Offline Banner,Pune,325.48,9543,399
05-01-2024,Offline Banner,Chennai,360.62,19181,487
06-01-2024,Instagram Ads,Delhi,1471.89,58706,1389
06-01-2024,Instagram Ads,Mumbai,1414.55,71954,1709
06-01-2024,Instagram Ads,Bengaluru,1215.91,66677,1296
06-01-2024,Instagram Ads,Hyderabad,766.3,39898,984
06-01-2024,Instagram Ads,Pune,588.41,26087,599
06-01-2024,Instagram Ads,Chennai,618.31,30206,830
06-01-2024,Google Ads,Delhi,1315.45,64403,997
06-01-2024,Google Ads,Mumbai,1336.89,51549,1753
06-01-2024,Google Ads,Bengaluru,1040.86,52652,1029
06-01-2024,Google Ads,Hyderabad,797.44,29015,620
06-01-2024,Google Ads,Pune,599.45,22274,430
06-01-2024,Google Ads,Chennai,642.16,30095,485
06-01-2024,Referral,Delhi,325.29,11387,256
06-01-2024,Referral,Mumbai,285.6,15604,340
06-01-2024,Referral,Bengaluru,321.08,17086,231
06-01-2024,Referral,Hyderabad,177.71,7976,150
06-01-2024,Referral,Pune,158.09,6571,219
06-01-2024,Referral,Chennai,158.39,6491,188
06-01-2024,Influencer,Delhi,971.91,31771,1136
06-01-2024,Influencer,Mumbai,1225.07,58560,816
06-01-2024,Influencer,Bengaluru,834.08,40095,784
06-01-2024,Influencer,Hyderabad,416.11,19567,392
06-01-2024,Influencer,Pune,543.64,23610,345
06-01-2024,Influencer,Chennai,454.74,19817,542
06-01-2024,Offline Banner,Delhi,897.88,39911,614
06-01-2024,Offline Banner,Mumbai,894.3,35422,1013
06-01-2024,Offline Banner,Bengaluru,744.51,22456,473
06-01-2024,Offline Banner,Hyderabad,448.42,19545,546
06-01-2024,Offline Banner,Pune,479,16081,466
06-01-2024,Offline Banner,Chennai,395.66,12852,320
07-01-2024,Instagram Ads,Delhi,1945.63,98438,1904
07-01-2024,Instagram Ads,Mumbai,1462.66,59452,1244
07-01-2024,Instagram Ads,Bengaluru,1345.48,55044,994
07-01-2024,Instagram Ads,Hyderabad,594.63,31642,756
07-01-2024,Instagram Ads,Pune,758.58,30299,764
07-01-2024,Instagram Ads,Chennai,450.73,21563,440
07-01-2024,Google Ads,Delhi,1794.72,52747,1930
07-01-2024,Google Ads,Mumbai,1449.96,55576,1648
07-01-2024,Google Ads,Bengaluru,1252.59,40357,869
07-01-2024,Google Ads,Hyderabad,944.89,42590,750
07-01-2024,Google Ads,Pune,759.83,23015,719
07-01-2024,Google Ads,Chennai,451.23,18263,540
07-01-2024,Referral,Delhi,367.32,14802,469
07-01-2024,Referral,Mumbai,370.33,16425,400
07-01-2024,Referral,Bengaluru,299.33,14113,380
07-01-2024,Referral,Hyderabad,182.81,7845,159
07-01-2024,Referral,Pune,154.55,4714,188
07-01-2024,Referral,Chennai,160.77,8280,190
07-01-2024,Influencer,Delhi,1008.56,45929,1275
07-01-2024,Influencer,Mumbai,1034.26,35356,892
07-01-2024,Influencer,Bengaluru,1048.32,52033,1229
07-01-2024,Influencer,Hyderabad,610.76,18401,630
07-01-2024,Influencer,Pune,572.41,23614,690
07-01-2024,Influencer,Chennai,347.01,13691,475
07-01-2024,Offline Banner,Delhi,1143.22,61232,1338
07-01-2024,Offline Banner,Mumbai,866.32,44386,900
07-01-2024,Offline Banner,Bengaluru,945.23,34514,822
07-01-2024,Offline Banner,Hyderabad,597.44,22899,814
07-01-2024,Offline Banner,Pune,480.17,15848,318
07-01-2024,Offline Banner,Chennai,381.12,14192,263
08-01-2024,Instagram Ads,Delhi,1146.32,60353,1110
08-01-2024,Instagram Ads,Mumbai,945.02,43847,1143
08-01-2024,Instagram Ads,Bengaluru,960.5,45093,1298
08-01-2024,Instagram Ads,Hyderabad,703.87,35335,964
08-01-2024,Instagram Ads,Pune,472.66,13331,374
08-01-2024,Instagram Ads,Chennai,373.61,17573,251
08-01-2024,Google Ads,Delhi,1098.12,51404,856
08-01-2024,Google Ads,Mumbai,1027.83,29532,786
08-01-2024,Google Ads,Bengaluru,954.76,48533,1089
08-01-2024,Google Ads,Hyderabad,529.38,22817,395
08-01-2024,Google Ads,Pune,559.49,24672,778
08-01-2024,Google Ads,Chennai,545.51,22451,493
08-01-2024,Referral,Delhi,367.54,14776,473
08-01-2024,Referral,Mumbai,251.42,8232,307
08-01-2024,Referral,Bengaluru,215.63,6090,287
08-01-2024,Referral,Hyderabad,153.97,4908,129
08-01-2024,Referral,Pune,130.06,4607,120
08-01-2024,Referral,Chennai,117.76,5373,98
08-01-2024,Influencer,Delhi,827.71,25296,509
08-01-2024,Influencer,Mumbai,778.33,35794,929
08-01-2024,Influencer,Bengaluru,785.76,36765,588
08-01-2024,Influencer,Hyderabad,385.32,14973,451
08-01-2024,Influencer,Pune,334.03,14498,291
08-01-2024,Influencer,Chennai,279.51,13993,306
08-01-2024,Offline Banner,Delhi,768.05,38363,871
08-01-2024,Offline Banner,Mumbai,616.89,19010,396
08-01-2024,Offline Banner,Bengaluru,789.26,35456,1007
08-01-2024,Offline Banner,Hyderabad,358.47,11704,492
08-01-2024,Offline Banner,Pune,368.1,14345,257
08-01-2024,Offline Banner,Chennai,338.92,16245,357
09-01-2024,Instagram Ads,Delhi,1363.56,56345,1844
09-01-2024,Instagram Ads,Mumbai,1209.25,46062,1078
09-01-2024,Instagram Ads,Bengaluru,926.56,44987,886
09-01-2024,Instagram Ads,Hyderabad,748.9,34344,528
09-01-2024,Instagram Ads,Pune,687.45,32814,882
09-01-2024,Instagram Ads,Chennai,352.97,10002,415
09-01-2024,Google Ads,Delhi,1296.85,59995,839
09-01-2024,Google Ads,Mumbai,1328.06,48923,1333
09-01-2024,Google Ads,Bengaluru,1116.31,34150,812
09-01-2024,Google Ads,Hyderabad,676.56,32674,786
09-01-2024,Google Ads,Pune,642.08,33272,503
09-01-2024,Google Ads,Chennai,445.16,17834,567
09-01-2024,Referral,Delhi,330.97,9971,425
09-01-2024,Referral,Mumbai,238.65,12897,323
09-01-2024,Referral,Bengaluru,206.66,7140,218
09-01-2024,Referral,Hyderabad,120.8,5819,168
09-01-2024,Referral,Pune,123.38,4911,160
09-01-2024,Referral,Chennai,94.76,4319,102
09-01-2024,Influencer,Delhi,1087.47,45921,1223
09-01-2024,Influencer,Mumbai,960.15,29288,705
09-01-2024,Influencer,Bengaluru,828.42,23765,983
09-01-2024,Influencer,Hyderabad,471.99,22350,644
09-01-2024,Influencer,Pune,304.54,9217,320
09-01-2024,Influencer,Chennai,364.13,14373,317
09-01-2024,Offline Banner,Delhi,939.08,32501,605
09-01-2024,Offline Banner,Mumbai,670.87,34218,611
09-01-2024,Offline Banner,Bengaluru,619.34,33465,830
09-01-2024,Offline Banner,Hyderabad,327.74,9735,435
09-01-2024,Offline Banner,Pune,301.09,8739,405
09-01-2024,Offline Banner,Chennai,339.64,12159,245
10-01-2024,Instagram Ads,Delhi,1310.9,54425,1190
10-01-2024,Instagram Ads,Mumbai,1226.62,54196,1599
10-01-2024,Instagram Ads,Bengaluru,1006.68,47236,711
10-01-2024,Instagram Ads,Hyderabad,638.53,28121,541
10-01-2024,Instagram Ads,Pune,572.37,29108,521
10-01-2024,Instagram Ads,Chennai,553.09,15647,367
10-01-2024,Google Ads,Delhi,1477.74,68691,901
10-01-2024,Google Ads,Mumbai,910.45,45919,1231
10-01-2024,Google Ads,Bengaluru,912.73,27741,938
10-01-2024,Google Ads,Hyderabad,735.7,40195,880
10-01-2024,Google Ads,Pune,714.75,22125,837
10-01-2024,Google Ads,Chennai,396.23,12508,261
10-01-2024,Referral,Delhi,259.26,12791,158
10-01-2024,Referral,Mumbai,238.72,9981,169
10-01-2024,Referral,Bengaluru,261.19,8938,209
10-01-2024,Referral,Hyderabad,160.36,7206,159
10-01-2024,Referral,Pune,158.92,5063,159
10-01-2024,Referral,Chennai,119.02,5514,92
10-01-2024,Influencer,Delhi,739.17,37161,840
10-01-2024,Influencer,Mumbai,809.86,34798,589
10-01-2024,Influencer,Bengaluru,607.78,26674,559
10-01-2024,Influencer,Hyderabad,348.78,15299,376
10-01-2024,Influencer,Pune,441.08,17387,301
10-01-2024,Influencer,Chennai,405.04,17429,352
10-01-2024,Offline Banner,Delhi,701.09,29097,816
10-01-2024,Offline Banner,Mumbai,709.62,28817,967
10-01-2024,Offline Banner,Bengaluru,642.89,30790,565
10-01-2024,Offline Banner,Hyderabad,436.76,15112,312
10-01-2024,Offline Banner,Pune,424.99,12924,578
10-01-2024,Offline Banner,Chennai,298.23,11295,388
11-01-2024,Instagram Ads,Delhi,1614.87,54586,2106
11-01-2024,Instagram Ads,Mumbai,1316.82,65762,1080
11-01-2024,Instagram Ads,Bengaluru,987.12,43586,731
11-01-2024,Instagram Ads,Hyderabad,587.12,28404,433
11-01-2024,Instagram Ads,Pune,612.45,33032,726
11-01-2024,Instagram Ads,Chennai,357.45,13164,481
11-01-2024,Google Ads,Delhi,1658.1,90338,2129
11-01-2024,Google Ads,Mumbai,1402.91,66751,1818
11-01-2024,Google Ads,Bengaluru,987.92,47762,1015
11-01-2024,Google Ads,Hyderabad,517.43,18631,591
11-01-2024,Google Ads,Pune,596.87,18420,468
11-01-2024,Google Ads,Chennai,560.29,29062,614
11-01-2024,Referral,Delhi,366,19450,335
11-01-2024,Referral,Mumbai,226.6,9395,179
11-01-2024,Referral,Bengaluru,275.03,9244,265
11-01-2024,Referral,Hyderabad,162.78,6074,126
11-01-2024,Referral,Pune,118.39,5100,78
11-01-2024,Referral,Chennai,123.73,4054,116
11-01-2024,Influencer,Delhi,829.84,39221,502
11-01-2024,Influencer,Mumbai,798.6,27804,525
11-01-2024,Influencer,Bengaluru,681.69,28819,926
11-01-2024,Influencer,Hyderabad,540.14,28832,485
11-01-2024,Influencer,Pune,415.22,14693,417
11-01-2024,Influencer,Chennai,260.23,8799,167
11-01-2024,Offline Banner,Delhi,798.93,22535,740
11-01-2024,Offline Banner,Mumbai,594.79,27776,381
11-01-2024,Offline Banner,Bengaluru,739.91,24601,1004
11-01-2024,Offline Banner,Hyderabad,352.2,18315,271
11-01-2024,Offline Banner,Pune,290.97,9108,382
11-01-2024,Offline Banner,Chennai,236.49,10140,145
12-01-2024,Instagram Ads,Delhi,1283.31,67213,1510
12-01-2024,Instagram Ads,Mumbai,1250.81,36270,1213
12-01-2024,Instagram Ads,Bengaluru,836.36,28424,581
12-01-2024,Instagram Ads,Hyderabad,716.65,24566,860
12-01-2024,Instagram Ads,Pune,498.7,25378,653
12-01-2024,Instagram Ads,Chennai,371.47,12174,323
12-01-2024,Google Ads,Delhi,1163.61,36083,1011
12-01-2024,Google Ads,Mumbai,1408.53,69456,1709
12-01-2024,Google Ads,Bengaluru,885.15,42530,1210
12-01-2024,Google Ads,Hyderabad,532.3,26920,455
12-01-2024,Google Ads,Pune,709.08,30250,822
12-01-2024,Google Ads,Chennai,587.06,26655,429
12-01-2024,Referral,Delhi,321.37,15858,376
12-01-2024,Referral,Mumbai,258.38,13492,213
12-01-2024,Referral,Bengaluru,198.8,9583,158
12-01-2024,Referral,Hyderabad,125.49,4132,173
12-01-2024,Referral,Pune,108.17,3481,148
12-01-2024,Referral,Chennai,129.38,5780,134
12-01-2024,Influencer,Delhi,789.55,27107,684
12-01-2024,Influencer,Mumbai,622.48,24572,603
12-01-2024,Influencer,Bengaluru,667.16,28717,779
12-01-2024,Influencer,Hyderabad,455.57,14856,422
12-01-2024,Influencer,Pune,466,22719,459
12-01-2024,Influencer,Chennai,392.27,21095,416
12-01-2024,Offline Banner,Delhi,752.62,37888,717
12-01-2024,Offline Banner,Mumbai,792.19,38680,842
12-01-2024,Offline Banner,Bengaluru,625.67,31656,471
12-01-2024,Offline Banner,Hyderabad,390.35,11759,255
12-01-2024,Offline Banner,Pune,458.48,18643,414
12-01-2024,Offline Banner,Chennai,318.66,16062,302
13-01-2024,Instagram Ads,Delhi,1401.47,60344,1839
13-01-2024,Instagram Ads,Mumbai,1520.87,80250,1434
13-01-2024,Instagram Ads,Bengaluru,1483.44,65693,1885
13-01-2024,Instagram Ads,Hyderabad,658.59,27062,790
13-01-2024,Instagram Ads,Pune,725.59,29496,931
13-01-2024,Instagram Ads,Chennai,620.26,23708,501
13-01-2024,Google Ads,Delhi,1632.8,56387,1467
13-01-2024,Google Ads,Mumbai,1509.63,62662,1686
13-01-2024,Google Ads,Bengaluru,1499.85,50114,1865
13-01-2024,Google Ads,Hyderabad,665.24,28900,647
13-01-2024,Google Ads,Pune,713.9,36394,518
13-01-2024,Google Ads,Chennai,724.62,37441,630
13-01-2024,Referral,Delhi,453.16,22715,470
13-01-2024,Referral,Mumbai,364.46,15655,229
13-01-2024,Referral,Bengaluru,363.37,19007,390
13-01-2024,Referral,Hyderabad,204.2,11035,273
13-01-2024,Referral,Pune,191.21,7371,223
13-01-2024,Referral,Chennai,106.24,4106,91
13-01-2024,Influencer,Delhi,1467.1,66314,1804
13-01-2024,Influencer,Mumbai,1080.49,48415,1113
13-01-2024,Influencer,Bengaluru,1103.35,59347,1340
13-01-2024,Influencer,Hyderabad,480.68,23630,620
13-01-2024,Influencer,Pune,619.96,22591,836
13-01-2024,Influencer,Chennai,406.34,16033,301
13-01-2024,Offline Banner,Delhi,882.08,27625,547
13-01-2024,Offline Banner,Mumbai,826.1,38321,1125
13-01-2024,Offline Banner,Bengaluru,665.46,32508,466
13-01-2024,Offline Banner,Hyderabad,517.43,14562,694
13-01-2024,Offline Banner,Pune,435.51,17653,472
13-01-2024,Offline Banner,Chennai,334.28,15596,285
14-01-2024,Instagram Ads,Delhi,1895.17,71679,1951
14-01-2024,Instagram Ads,Mumbai,1451.41,47208,1099
14-01-2024,Instagram Ads,Bengaluru,1123.19,41875,945
14-01-2024,Instagram Ads,Hyderabad,928.67,34094,1263
14-01-2024,Instagram Ads,Pune,830.11,38363,1005
14-01-2024,Instagram Ads,Chennai,556.99,28924,744
14-01-2024,Google Ads,Delhi,1396.16,42700,884
14-01-2024,Google Ads,Mumbai,1579.98,53784,1390
14-01-2024,Google Ads,Bengaluru,1114.87,51404,1510
14-01-2024,Google Ads,Hyderabad,982,39181,1268
14-01-2024,Google Ads,Pune,788.86,41662,679
14-01-2024,Google Ads,Chennai,650.85,32907,716
14-01-2024,Referral,Delhi,419.51,16600,577
14-01-2024,Referral,Mumbai,397.82,19643,508
14-01-2024,Referral,Bengaluru,287.58,12145,367
14-01-2024,Referral,Hyderabad,142.03,6268,177
14-01-2024,Referral,Pune,125.16,6871,107
14-01-2024,Referral,Chennai,150.78,6630,114
14-01-2024,Influencer,Delhi,1017,28924,1365
14-01-2024,Influencer,Mumbai,841.94,27209,780
14-01-2024,Influencer,Bengaluru,1057.88,51182,1187
14-01-2024,Influencer,Hyderabad,672.27,20193,443
14-01-2024,Influencer,Pune,586.92,27171,371
14-01-2024,Influencer,Chennai,368.63,12291,315
14-01-2024,Offline Banner,Delhi,939.86,50534,945
14-01-2024,Offline Banner,Mumbai,1149.82,38613,1458
14-01-2024,Offline Banner,Bengaluru,643.48,26212,473
14-01-2024,Offline Banner,Hyderabad,517.65,25641,346
14-01-2024,Offline Banner,Pune,505.56,15094,653
14-01-2024,Offline Banner,Chennai,321.48,15594,295
15-01-2024,Instagram Ads,Delhi,1129.93,54070,873
15-01-2024,Instagram Ads,Mumbai,903.62,33266,1260
15-01-2024,Instagram Ads,Bengaluru,1266.82,41110,1083
15-01-2024,Instagram Ads,Hyderabad,616.64,24872,639
15-01-2024,Instagram Ads,Pune,665.71,24321,784
15-01-2024,Instagram Ads,Chennai,563.97,16900,585
15-01-2024,Google Ads,Delhi,1053.81,38091,1026
15-01-2024,Google Ads,Mumbai,1056.76,48234,1056
15-01-2024,Google Ads,Bengaluru,1252.23,59048,1015
15-01-2024,Google Ads,Hyderabad,520.5,15560,545
15-01-2024,Google Ads,Pune,480.73,22551,387
15-01-2024,Google Ads,Chennai,435.55,18080,525
15-01-2024,Referral,Delhi,341.13,16071,357
15-01-2024,Referral,Mumbai,221.99,9786,299
15-01-2024,Referral,Bengaluru,222.98,8358,286
15-01-2024,Referral,Hyderabad,143.49,6141,127
15-01-2024,Referral,Pune,155.51,5191,98
15-01-2024,Referral,Chennai,110.96,3433,70
15-01-2024,Influencer,Delhi,764.81,36643,654
15-01-2024,Influencer,Mumbai,784.13,22036,893
15-01-2024,Influencer,Bengaluru,879.58,25659,1085
15-01-2024,Influencer,Hyderabad,501.13,22495,633
15-01-2024,Influencer,Pune,495.65,17246,353
15-01-2024,Influencer,Chennai,404.48,18873,325
15-01-2024,Offline Banner,Delhi,695.41,30544,526
15-01-2024,Offline Banner,Mumbai,580.08,19793,608
15-01-2024,Offline Banner,Bengaluru,567.66,19651,695
15-01-2024,Offline Banner,Hyderabad,443.79,14858,618
15-01-2024,Offline Banner,Pune,415.03,12228,471
15-01-2024,Offline Banner,Chennai,316.45,15057,237
16-01-2024,Instagram Ads,Delhi,1324.16,43731,1373
16-01-2024,Instagram Ads,Mumbai,1330.81,68787,1851
16-01-2024,Instagram Ads,Bengaluru,1198.22,33923,1252
16-01-2024,Instagram Ads,Hyderabad,691.24,27921,498
16-01-2024,Instagram Ads,Pune,511.5,18349,535
16-01-2024,Instagram Ads,Chennai,516.36,20593,704
16-01-2024,Google Ads,Delhi,1683.15,64947,1520
16-01-2024,Google Ads,Mumbai,1079.77,48594,1201
16-01-2024,Google Ads,Bengaluru,984.72,35522,953
16-01-2024,Google Ads,Hyderabad,701.51,30522,454
16-01-2024,Google Ads,Pune,463.35,17899,418
16-01-2024,Google Ads,Chennai,587.94,31394,779
16-01-2024,Referral,Delhi,368.07,15686,353
16-01-2024,Referral,Mumbai,324.14,10507,290
16-01-2024,Referral,Bengaluru,247.99,12717,278
16-01-2024,Referral,Hyderabad,161.62,6749,114
16-01-2024,Referral,Pune,112.7,4285,71
16-01-2024,Referral,Chennai,83.54,4241,66
16-01-2024,Influencer,Delhi,853.39,44377,1039
16-01-2024,Influencer,Mumbai,767.4,38229,524
16-01-2024,Influencer,Bengaluru,759.35,40615,459
16-01-2024,Influencer,Hyderabad,521.55,25918,701
16-01-2024,Influencer,Pune,465.48,18294,442
16-01-2024,Influencer,Chennai,300.44,9888,202
16-01-2024,Offline Banner,Delhi,1027.65,31593,1420
16-01-2024,Offline Banner,Mumbai,621.81,18927,512
16-01-2024,Offline Banner,Bengaluru,563.07,20114,408
16-01-2024,Offline Banner,Hyderabad,324.24,16265,407
16-01-2024,Offline Banner,Pune,415.95,19137,519
16-01-2024,Offline Banner,Chennai,333.25,16383,376
17-01-2024,Instagram Ads,Delhi,1199.3,41406,1457
17-01-2024,Instagram Ads,Mumbai,1109.96,60082,1483
17-01-2024,Instagram Ads,Bengaluru,1141.12,62553,909
17-01-2024,Instagram Ads,Hyderabad,653.18,22471,505
17-01-2024,Instagram Ads,Pune,551,17942,666
17-01-2024,Instagram Ads,Chennai,407.67,12194,386
17-01-2024,Google Ads,Delhi,1593.75,71339,2026
17-01-2024,Google Ads,Mumbai,1308.53,46952,1642
17-01-2024,Google Ads,Bengaluru,829.54,23877,1110
17-01-2024,Google Ads,Hyderabad,719.79,36919,445
17-01-2024,Google Ads,Pune,550.84,17450,493
17-01-2024,Google Ads,Chennai,417.44,21920,556
17-01-2024,Referral,Delhi,329.37,15180,291
17-01-2024,Referral,Mumbai,252.18,11330,170
17-01-2024,Referral,Bengaluru,206.32,10770,280
17-01-2024,Referral,Hyderabad,126.32,6386,164
17-01-2024,Referral,Pune,159.64,4508,143
