order_id,customer_id,order_date,city,payment_mode,delivery_minutes,delivery_rating,discount_pct,order_status
O703490,C100879,12-11-2024,Delhi,UPI,22.9,5,0,Delivered
O701270,C100285,02-01-2025,Bengaluru,UPI,12.6,4,10,Delivered
O713089,C103174,17-09-2024,Delhi,UPI,19.1,,20,Delivered
O720513,C104949,13-11-2024,Hyderabad,UPI,31.8,3.5,10,Delivered
O713355,C103247,03-12-2025,Chennai,Card,13.8,5,5,Returned
O719148,C104626,12-08-2025,Delhi,UPI,13.6,5,0,Delivered
O722380,C105422,02-01-2025,Pune,Card,763.4,3.5,20,Delivered
O723243,C105617,08-10-2024,Chennai,COD,26.3,4.5,5,Delivered
O705390,C101300,11-12-2025,Mumbai,Card,23.6,4,10,Delivered
O722508,C105445,22-11-2024,Bengaluru,UPI,30.7,3,30,Delivered
O722647,C105467,05-08-2025,Bengaluru,UPI,24.8,4,15,Delivered
O708742,C102113,06-07-2025,Bengaluru,UPI,23.1,5,5,Delivered
O718222,C104408,19-07-2025,Bengaluru,UPI,20.5,4,5,Delivered
O703232,C100817,12-12-2024,Pune,COD,6,4.5,20,Delivered
O714123,C103438,04-11-2025,Mumbai,Wallet,34.4,3,0,Delivered
O708445,C102041,21-01-2025,Delhi,UPI,20.2,4,15,Delivered
O722637,C105466,12-02-2025,Mumbai,UPI,19.7,5,35,Delivered
O705845,C101419,22-11-2025,Pune,UPI,22.3,4.5,15,Delivered
O700425,C100105,12-04-2025,Chennai,,22.2,,20,Delivered
O707327,C101801,13-10-2024,Pune,UPI,25.9,4.5,10,Delivered
O721305,C105123,23-08-2025,Delhi,UPI,19,5,5,Delivered
O702978,C100753,16-07-2024,Bengaluru,Wallet,37.2,4,35,Delivered
O702953,C100745,17-06-2025,Hyderabad,UPI,28.9,4,5,Delivered
O717463,C104204,05-09-2024,Mumbai,UPI,20.5,4.5,30,Delivered
O715826,C103844,01-07-2025,Bengaluru,COD,22.3,4,10,Delivered
O720084,C104862,11-05-2025,Mumbai,Card,30.5,4,20,Delivered
O705860,C101428,14-07-2025,Mumbai,UPI,21.5,5,15,Delivered
O703428,C100863,01-01-2025,Mumbai,COD,18.7,4,30,Delivered
O715646,C103794,25-10-2025,Mumbai,UPI,33.7,4,25,Returned
O719746,C104773,20-03-2025,Mumbai,UPI,25.8,4.5,0,Delivered
O708433,C102037,14-09-2025,Delhi,UPI,11,4.5,0,Delivered
O716709,C104035,15-08-2025,Bengaluru,Card,11.9,5,5,Delivered
O722982,C105556,19-11-2025,Bengaluru,UPI,31,3.5,5,Delivered
O719359,C104681,19-05-2025,Delhi,UPI,15.8,5,10,Delivered
O714647,C103562,25-10-2024,Delhi,UPI,31.4,3,0,Delivered
O718641,C104512,25-06-2024,Bengaluru,UPI,27.7,3,35,Delivered
O701845,C100430,15-11-2025,Delhi,UPI,19.7,4.5,40,Delivered
O710423,C102516,10-12-2024,Delhi,Wallet,6,5,20,Delivered
O723031,C105567,04-06-2025,Delhi,Wallet,11.6,5,20,Delivered
O702048,C100493,04-11-2025,Mumbai,Wallet,33.3,2.5,20,Returned
O714400,C103498,30-11-2024,Delhi,UPI,17.4,5,25,Delivered
O721764,C105256,07-09-2025,Pune,Card,12.5,5,0,Delivered
O723501,C105687,13-07-2025,Bengaluru,UPI,17.7,5,0,Delivered
O710581,C102559,14-10-2025,Delhi,Card,19,4.5,30,Delivered
O716278,C103941,05-05-2025,Pune,UPI,16.4,5,0,Delivered
O700904,C100216,04-04-2025,Delhi,Card,14.8,5,5,Delivered
O714467,C103514,14-07-2024,Hyderabad,Card,27.8,3.5,30,Delivered
O710231,C102475,16-04-2025,Chennai,UPI,17.2,4.5,0,Delivered
O705200,C101262,11-08-2024,Bengaluru,UPI,7.8,5,5,Delivered
O701852,C100431,02-11-2025,Mumbai,Wallet,29.4,4,20,Delivered
O718316,C104431,05-10-2024,Delhi,Wallet,,5,5,Delivered
O723730,C105757,06-12-2025,Pune,Card,23.4,5,10,Delivered
O721336,C105128,24-10-2025,Pune,Wallet,21.6,4,20,Delivered
O704224,C101029,06-08-2024,Mumbai,UPI,19.4,,25,Delivered
O719302,C104671,29-07-2025,Delhi,COD,22.2,4.5,5,Delivered
O701476,C100339,31-03-2025,Bengaluru,Card,18.9,4.5,30,Delivered
O700930,C100218,02-12-2024,Delhi,UPI,28.1,3.5,25,Delivered
O723152,C105602,22-11-2025,Chennai,UPI,27.4,4.5,10,Delivered
O721043,C105073,24-05-2024,Hyderabad,UPI,34.4,,15,Delivered
O703255,C100821,03-08-2024,HYDERABAD,UPI,27.6,4.5,15,Delivered
O700246,C100052,16-06-2025,Mumbai,UPI,29.3,3,15,Delivered
O711999,C102893,12-10-2025,Mumbai,UPI,24.7,4.5,15,Delivered
O722659,C105471,07-12-2024,Bengaluru,,32.8,3,15,Delivered
O714408,C103498,10-08-2025,Delhi,COD,11.8,5,5,Delivered
O719306,C104672,05-07-2025,Bengaluru,Card,22.7,4.5,15,Delivered
O704074,C100999,13-12-2025,Mumbai,Card,31.2,4,25,Delivered
O723147,C105599,31-10-2025,Delhi,Wallet,32.7,3.5,20,Delivered
O717230,C104143,27-07-2024,Chennai,UPI,12.7,4.5,20,Delivered
O718975,C104584,26-11-2024,Bengaluru,Card,32.1,3,5,Delivered
O710509,C102535,12-04-2025, Delhi ,UPI,22.1,,5,Delivered
O716320,C103958,28-11-2025,Delhi,UPI,19.1,5,0,Delivered
O709439,C102276,25-10-2025,Delhi,UPI,23.7,5,40,Delivered
O704832,C101163,25-08-2025,Mumbai,UPI,17,5,5,Delivered
O716702,C104034,26-11-2024,Delhi,UPI,24.4,4,10,Delivered
O706183,C101506,28-12-2025,Mumbai,Card,25.2,4,10,Delivered
O721233,C105111,24-10-2024,Delhi,UPI,23.1,4,20,Delivered
O724336,C105908,28-10-2024,Mumbai,UPI,26.4,4,20,Delivered
O708477,C102048,27-12-2024,Mumbai,Card,25,4,0,Delivered
O705713,C101388,22-11-2025,Bengaluru,Card,32.3,3,30,Delivered
O715008,C103640,28-06-2025,Mumbai,Wallet,29.7,3.5,0,Delivered
O701733,C100410,22-08-2025,Pune,UPI,17.3,4.5,5,Cancelled
O722683,C105478,11-10-2025,Delhi,UPI,21.5,5,20,Returned
O709636,C102331,02-06-2025,BENGALURU,COD,20.8,5,35,Delivered
O718182,C104399,25-12-2025,Chennai,UPI,,4,40,Delivered
O716283,C103941,04-06-2025,Pune,UPI,27.6,4,15,Delivered
O718614,C104507,22-04-2025,Mumbai,UPI,21.6,5,0,Returned
O701336,C100297,03-05-2025,Delhi,UPI,25.9,4.5,5,Delivered
O719406,C104691,18-10-2025,Hyderabad,COD,32.7,3,15,Delivered
O722764,C105497,05-05-2025,Bengaluru,COD,,4.5,0,Delivered
O706125,C101492,12-10-2024,Bengaluru,UPI,,4,35,Delivered
O718618,C104507,13-09-2025,Mumbai,UPI,20.5,4.5,20,Delivered
O708743,C102113,09-07-2025,Bengaluru,UPI,26.6,4,0,Delivered
O720036,C104851,28-09-2024,Bengaluru,Card,29.1,4,20,Delivered
O714950,C103628,10-11-2025,Delhi,UPI,16,5,10,Delivered
O718540,C104487,28-08-2024,Hyderabad,Wallet,33.5,3,5,Delivered
O701558,C100357,08-11-2024,Delhi,UPI,20.8,4,20,Delivered
O704382,C101065,20-10-2025,Delhi,UPI,23.4,4.5,15,Delivered
O704092,C101004,19-06-2025,Mumbai,UPI,24,3.5,5,Delivered
O711334,C102737,27-08-2025,Bengaluru,Card,24.2,5,0,Cancelled
O705861,C101428,30-07-2025,Mumbai,UPI,24.9,4.5,10,Delivered
O715103,C103659,22-11-2024,Delhi,UPI,30.4,3.5,25,Delivered
O701787,C100416,17-11-2025,Mumbai,UPI,16.2,4.5,20,Delivered
O705386,C101299,15-05-2025,Bengaluru,Card,32.3,3.5,10,Delivered
O722244,C105386,15-08-2025,Bengaluru,Card,31.4,3.5,30,Delivered
O704653,C101121,27-10-2025,Pune,COD,27.1,4.5,15,Delivered
O718627,C104509,31-08-2025,Bengaluru,UPI,15.3,5,20,Delivered
O710068,C102440,10-09-2025,Hyderabad,UPI,23.9,4,5,Delivered
O709941,C102411,16-11-2025,Mumbai,UPI,29.6,3,50,Delivered
O710963,C102657,16-11-2025,Delhi,UPI,24.5,4.5,25,Cancelled
O720477,C104944,15-10-2024,Delhi,Card,26.9,4.5,15,Delivered
O714189,C103456,08-06-2025,Pune,COD,6.7,5,30,Delivered
O715787,C103834,21-11-2025,Bengaluru,UPI,16.7,5,25,Delivered
O705475,C101327,25-11-2024,Delhi,UPI,25.1,4,20,Delivered
O720798,C105021,20-10-2024,Mumbai,UPI,19,5,40,Delivered
O718021,C104355,18-10-2024,Delhi,UPI,24.7,4.5,5,Delivered
O713927,C103394,07-08-2025,Chennai,COD,20.3,5,15,Delivered
O722389,C105423,17-01-2025,Bengaluru,Card,28.8,4.5,15,Delivered
O713591,C103308,26-10-2024, Pune ,UPI,21.9,4.5,30,Delivered
O716226,C103928,19-02-2025,Delhi,UPI,23.9,3.5,30,Delivered
O706463,C101574,28-08-2025,Bengaluru,UPI,26.5,3.5,30,Delivered
O723058,C105574,21-08-2025,Mumbai,Card,22.3,5,10,Delivered
O722792,C105504,18-03-2025,Hyderabad,UPI,14.1,4.5,10,Delivered
O703621,C100906,28-09-2025,Delhi,UPI,31.5,3.5,0,Delivered
O714378,C103492,14-11-2025,Pune,Wallet,18.8,4,10,Delivered
O723146,C105599,25-10-2025,Delhi,UPI,20.1,4,15,Delivered
O714085,C103428,23-11-2024,Bengaluru,UPI,38.7,2.5,15,Delivered
O704604,C101110,04-10-2025,Bengaluru,UPI,23,5,25,Delivered
O707899,C101928,03-10-2025,Mumbai,UPI,30.3,4,5,Delivered
O704830,C101163,31-07-2025,Mumbai,UPI,13.7,5,40,Delivered
O719621,C104735,17-08-2025,Delhi,UPI,19.9,5,20,Delivered
O700243,C100051,30-08-2025,Delhi,COD,29.7,2.5,15,Delivered
O706070,C101480,07-04-2025,Bengaluru,UPI,25.5,5,15,Delivered
O724521,C105952,27-06-2025,Mumbai,UPI,16.5,5,10,Delivered
O708313,C102008,09-11-2025,delhi,UPI,22.8,3,15,Delivered
O722180,C105369,31-10-2024,Bengaluru,UPI,30.3,4,30,Delivered
O710600,C102568,27-04-2025,Bengaluru,UPI,27.5,4,5,Delivered
O717496,C104209,09-09-2024,Hyderabad,UPI,29.3,4.5,0,Delivered
O714394,C103498,04-10-2024,Delhi,UPI,20.9,5,45,Cancelled
O713324,C103237,20-07-2025,Pune,UPI,23,4,30,Delivered
O720786,C105020,03-05-2025,Chennai,Wallet,14.7,5,10,Delivered
O703347,C100851,26-11-2024,Bengaluru,Card,32.4,3.5,15,Delivered
O715570,C103780,19-10-2024,chennai,UPI,27.8,3,25,Delivered
O720295,C104903,05-10-2024,Hyderabad,Card,36.5,3,20,Delivered
O722043,C105333,21-05-2025,Chennai,Wallet,25.3,4,5,Delivered
O713269,C103221,24-11-2025,Chennai,UPI,28.7,4.5,15,Delivered
O708916,C102148,28-05-2025,Pune,Wallet,17.7,4.5,0,Returned
O723706,C105743,23-08-2025,Delhi,UPI,19.7,,40,Delivered
O713584,C103306,23-11-2024,Delhi,Wallet,17.1,4,35,Delivered
O705234,C101265,01-02-2025,Bengaluru,UPI,30.1,,5,Delivered
O717996,C104345,19-12-2025,Delhi,,22.6,4,20,Delivered
O713384,C103255,16-01-2025,hyderabad,Wallet,29.2,3,5,Delivered
O719093,C104610,09-11-2025,bengaluru,UPI,37.9,2.5,15,Delivered
O715809,C103843,08-09-2024, Chennai ,UPI,,4,15,Delivered
O718417,C104454,13-04-2025,Delhi,UPI,9.7,5,10,Delivered
O713536,C103297,28-05-2025,Delhi,UPI,24.9,,10,Delivered
O722883,C105527,28-12-2024,Mumbai,UPI,24.4,,0,Delivered
O719015,C104590,10-04-2025,Delhi,Card,16.6,,20,Delivered
O709777,C102369,23-06-2025,Bengaluru,UPI,15.3,5,10,Delivered
O722209,C105373,03-06-2025,mumbai,UPI,16.4,4.5,10,Delivered
O713231,C103219,30-11-2024,Hyderabad,UPI,34.1,2.5,15,Cancelled
O711045,C102671,22-12-2025,Hyderabad,Card,31.7,3.5,0,Delivered
O715539,C103774,16-11-2025,Delhi,COD,18.2,4,20,Delivered
O709784,C102369,01-11-2025,Bengaluru,COD,36,2.5,20,Delivered
O713347,C103245,21-07-2025,Mumbai,Card,30.4,4.5,30,Delivered
O710847,C102631,01-05-2025,Delhi,COD,22.1,5,5,Delivered
O724510,C105952,29-11-2024,Mumbai,COD,27.1,,25,Delivered
O714375,C103492,25-08-2025,Pune,COD,16.4,4.5,5,Delivered
O701523,C100346,24-10-2025,Mumbai,UPI,26.7,4,30,Delivered
O715901,C103864,08-11-2024,Hyderabad,UPI,34.3,2.5,0,Delivered
O717195,C104137,19-03-2024,Bengaluru,Card,24.3,3.5,10,Delivered
O710650,C102579,17-08-2025,Chennai,Card,21.8,4,5,Delivered
O702505,C100628,11-04-2025,Mumbai,Wallet,20.5,5,10,Delivered
O722093,C105341,11-08-2025,Bengaluru,UPI,25.4,5,5,Delivered
O712883,C103124,15-02-2025,Bengaluru,Card,23.3,4.5,20,Delivered
O703559,C100892,19-02-2025,Delhi,UPI,23.2,5,10,Delivered
O703936,C100974,19-11-2024,Delhi,UPI,28.5,,25,Delivered
O705163,C101250,07-09-2025,Chennai,Card,17.2,5,15,Delivered
O710710,C102593,10-05-2025,Hyderabad,Card,20.9,4.5,15,Delivered
O720639,C104983,23-02-2025,Delhi,UPI,17.4,5,5,Delivered
O702630,C100666,20-05-2025,Mumbai,COD,13.7,5,20,Delivered
O704673,C101124,22-09-2024, Delhi ,COD,9.7,5,30,Delivered
O721464,C105167,26-10-2025,Chennai,UPI,23.6,4,10,Delivered
O708323,C102009,13-12-2025,Bengaluru,UPI,18.6,5,35,Delivered
O722898,C105531,14-05-2025,Delhi,Wallet,22.3,4.5,10,Delivered
O710445,C102518,22-06-2025,Delhi,UPI,14.9,5,5,Delivered
O713994,C103407,21-05-2025,Mumbai,Wallet,28.9,4,0,Returned
O715424,C103743,22-02-2025,DELHI,Card,7.4,5,20,Delivered
O706364,C101552,16-02-2025,Bengaluru,Card,18.1,5,30,Delivered
O710477,C102527,19-04-2025,Delhi,UPI,21.5,3.5,10,Delivered
O713463,C103282,03-09-2024,Hyderabad,UPI,21.8,4.5,20,Cancelled
O715930,C103867,12-05-2025,Bengaluru,UPI,25.3,3.5,5,Delivered
O709039,C102175,05-05-2025,Delhi,Card,17.8,5,5,Delivered
O720631,C104981,23-07-2025,Chennai,UPI,29.4,4,5,Delivered
O716244,C103931,02-12-2024,delhi,UPI,14.5,5,5,Delivered
O719817,C104787,30-01-2025,Pune,UPI,16.4,5,20,Delivered
O716243,C103931,17-11-2024,Delhi,Wallet,20.1,5,10,Cancelled
O712306,C102982,28-12-2024,Hyderabad,Wallet,26.7,3.5,20,Delivered
O708677,C102106,18-05-2025,Pune,UPI,21.6,5,5,Delivered
O713724,C103346,12-12-2025,Delhi,UPI,24.1,4.5,25,Delivered
O722569,C105454,29-06-2025,Delhi,Wallet,20.5,5,10,Delivered
O716945,C104074,27-04-2025,Mumbai,Wallet,23.7,5,15,Delivered
O705917,C101447,29-09-2025,Mumbai,UPI,26.9,4,25,Delivered
O710038,C102435,02-04-2025,Bengaluru,UPI,24.8,4.5,5,Delivered
O717116,C104118,05-08-2025,Delhi,Card,17.4,5,10,Delivered
O709381,C102257,27-08-2024,Pune,COD,19.2,5,5,Delivered
O721755,C105256,28-02-2025,Pune,UPI,15.2,5,15,Delivered
O715752,C103821,10-10-2025,Pune,UPI,35.5,3,10,Delivered
O718999,C104585,09-07-2025,Mumbai,COD,20.1,4.5,45,Cancelled
O705440,C101320,29-09-2025,Mumbai,UPI,25.3,4.5,25,Delivered
O723846,C105787,09-08-2025,Chennai,COD,32.6,4.5,20,Delivered
O715286,C103708,29-12-2025,Hyderabad,UPI,23.9,3.5,10,Delivered
O719366,C104683,23-06-2025,Bengaluru,UPI,19.5,4,15,Delivered
O709898,C102398,02-01-2025,Mumbai,UPI,32.5,3.5,5,Cancelled
O720393,C104925,25-04-2025,Chennai,COD,22.3,4.5,10,Cancelled
O700604,C100155,16-02-2025,Bengaluru,UPI,10.7,5,20,Delivered
O715004,C103640,19-09-2024,Mumbai,Card,22.3,5,0,Delivered
O720918,C105050,15-12-2024, Mumbai ,Wallet,16.9,5,0,Delivered
O703587,C100902,12-05-2025,Bengaluru,UPI,28.5,4,30,Delivered
O711679,C102810,16-07-2025,Delhi,Wallet,15.2,5,0,Delivered
O708420,C102037,25-02-2025,Delhi,UPI,10.3,4,10,Delivered
O713075,C103171,21-09-2025,PUNE,Card,22.3,3.5,30,Delivered
O720441,C104938,03-10-2025,Delhi,Card,26.8,4.5,20,Delivered
O709984,C102421,31-05-2025,Mumbai,UPI,19.4,5,10,Delivered
O723478,C105679,21-11-2025,Mumbai,Card,35.7,2.5,10,Delivered
O711084,C102678,04-11-2025,Hyderabad,UPI,18.8,,25,Delivered
O722793,C105504,25-03-2025,Hyderabad,Card,26.5,4.5,0,Delivered
O714795,C103588,19-10-2025,Delhi,Wallet,19.3,5,30,Delivered
O717537,C104222,23-07-2025,Mumbai,UPI,19.8,4.5,10,Delivered
O716803,C104049,25-07-2025,Mumbai,Card,16.7,4.5,0,Delivered
O713900,C103386,01-08-2025,Pune,Card,18.4,5,30,Cancelled
O724722,C105995,22-07-2025,Mumbai,UPI,30.1,3.5,0,Delivered
O711570,C102791,29-08-2025,Mumbai,UPI,11.7,5,10,Delivered
O700101,C100025,19-10-2025,Pune,UPI,22.1,3.5,45,Delivered
O719539,C104719,19-08-2025, Delhi ,UPI,6,5,20,Delivered
O723449,C105675,18-08-2024,Pune,Card,16.1,5,0,Delivered
O705069,C101221,23-05-2025,Mumbai,UPI,21.6,4.5,20,Delivered
O713983,C103404,13-05-2025,Chennai,UPI,23.7,4.5,5,Delivered
O722540,C105449,21-12-2025,Bengaluru,UPI,20.7,5,10,Delivered
O700092,C100025,14-04-2025,Pune,UPI,20.7,3.5,5,Delivered
O715485,C103758,11-12-2025,Delhi,Wallet,12,5,0,Delivered
O723698,C105738,30-11-2025,Delhi,COD,20,,30,Cancelled
O722828,C105515,16-09-2025,Hyderabad,Card,28.6,4,0,Delivered
O711204,C102703,05-03-2025,Hyderabad,UPI,28.1,4,5,Delivered
O707051,C101729,10-12-2024,Delhi,COD,20.8,,25,Delivered
O708660,C102104,15-01-2025,Chennai,Wallet,23,4,15,Delivered
O701364,C100303,27-03-2025, Bengaluru ,UPI,23.1,4.5,5,Delivered
O722369,C105419,01-11-2025,Chennai,UPI,25.4,,50,Delivered
O703630,C100907,10-05-2025,Mumbai,UPI,19.6,4,5,Delivered
O718963,C104583,19-08-2025,Delhi,UPI,,,20,Delivered
O715882,C103859,28-08-2025,Delhi,UPI,29.9,2.5,25,Cancelled
O708698,C102107,24-06-2025,Pune,Card,23.3,5,10,Cancelled
O702081,C100500,30-11-2025,Delhi,Card,30.4,3,25,Delivered
O706193,C101510,20-07-2024,Chennai,Wallet,11.8,4,20,Delivered
O708971,C102158,13-12-2025,Pune,UPI,10.5,5,10,Returned
O717902,C104314,23-12-2025,Delhi,UPI,27.1,4,0,Delivered
O722301,C105402,09-10-2025,Delhi,Card,20.5,5,20,Delivered
O705488,C101328,19-10-2025,Bengaluru,Card,26.2,4,20,Delivered
O722100,C105343,09-10-2025,Delhi,UPI,23,4.5,20,Delivered
O701263,C100283,11-11-2025,Mumbai,UPI,28.7,3.5,5,Delivered
O710412,C102514,20-04-2025, Mumbai ,Card,,5,10,Delivered
O704816,C101162,01-07-2025, Mumbai ,UPI,25.7,4,0,Delivered
O715849,C103851,28-11-2025,Hyderabad,Card,29,3,15,Delivered
O707392,C101812,17-08-2025, Mumbai ,UPI,24.1,4.5,10,Delivered
O715868,C103857,22-12-2024,pune,Card,31.8,2.5,0,Delivered
O708919,C102148,19-07-2025,Pune,Card,14.9,5,15,Delivered
O703917,C100972,15-10-2024,Bengaluru,Card,35.8,,30,Delivered
O702257,C100563,03-09-2025,Pune,COD,22.4,5,0,Delivered
O706500,C101588,31-05-2024,Delhi,COD,25.7,3.5,20,Delivered
O723520,C105694,17-03-2025,Mumbai,UPI,26.7,4.5,20,Delivered
O715017,C103641,29-04-2025,Hyderabad,UPI,29.9,3.5,20,Delivered
O722294,C105402,26-04-2025,Delhi,UPI,24.6,4.5,25,Delivered
O720043,C104852,21-11-2025,Hyderabad,UPI,51.8,1.5,0,Delivered
O708442,C102040,03-11-2025,Mumbai,UPI,24.9,4,20,Delivered
O714107,C103432,08-10-2025,Bengaluru,COD,37.5,2.5,0,Delivered
O724335,C105908,06-10-2024,Mumbai,UPI,25.7,4.5,15,Delivered
O703539,C100882,24-10-2025,Mumbai,UPI,28.4,,15,Delivered
O719811,C104786,22-08-2025,Mumbai,Wallet,25,4,20,Delivered
O702173,C100532,07-09-2025,Delhi,UPI,23.5,5,20,Delivered
O704897,C101177,23-05-2025,Mumbai,UPI,28.2,4.5,35,Delivered
O700277,C100064,31-10-2025,Hyderabad,UPI,30.1,4,30,Delivered
O714121,C103438,14-05-2025,Mumbai,Card,18.5,5,5,Delivered
O705206,C101262,27-02-2025, Bengaluru ,Card,22.5,4.5,30,Delivered
O705443,C101322,06-10-2025,Delhi,UPI,21.1,4.5,15,Delivered
O718332,C104436,18-05-2025,Delhi,UPI,13.4,5,10,Delivered
O723820,C105783,23-02-2025,Bengaluru,UPI,21.3,4.5,15,Delivered
O714475,C103517,06-04-2025,Delhi,UPI,16.7,5,5,Delivered
O708746,C102113,14-08-2025,Bengaluru,UPI,,5,5,Delivered
O706432,C101566,21-04-2025,Pune,Card,14.9,5,30,Delivered
O714301,C103479,27-11-2025,Mumbai,UPI,24,4.5,45,Delivered
O707054,C101729,20-06-2025,Delhi,COD,26.7,4.5,20,Delivered
O701921,C100452,19-03-2025,Hyderabad,UPI,27.3,3.5,10,Delivered
O715504,C103763,21-02-2025,Bengaluru,UPI,21.2,3.5,0,Delivered
O700079,C100020,12-07-2025,Delhi,Card,19.1,5,5,Delivered
O720097,C104865,28-08-2025,Mumbai,Card,9,5,0,Delivered
O706566,C101604,13-11-2024,Bengaluru,UPI,19.6,5,40,Delivered
O703840,C100961,29-05-2024,Hyderabad,UPI,27.2,4,5,Delivered
O711467,C102756,23-08-2025,Pune,UPI,19.7,5,25,Delivered
O705677,C101378,28-10-2025,Mumbai,UPI,24.9,4,25,Cancelled
O724292,C105895,11-03-2025,Mumbai,UPI,29,4.5,35,Delivered
O721091,C105078,15-10-2025,Delhi,Card,16.7,5,5,Delivered
O715026,C103646,17-12-2025,Chennai,UPI,18.6,5,0,Delivered
O717012,C104090,02-12-2025,Mumbai,UPI,14.8,4.5,15,Delivered
O721041,C105071,22-08-2025,Delhi,UPI,17.7,5,15,Delivered
O724603,C105964,10-04-2025,Pune,Card,20.9,4.5,0,Delivered
O713085,C103173,05-12-2025,Mumbai,Card,10.6,5,0,Delivered
O711790,C102843,06-08-2025,Delhi,COD,21.8,4,20,Delivered
O706773,C101650,13-09-2025,Mumbai,UPI,23.3,4.5,0,Delivered
O717059,C104106,01-10-2025,Bengaluru,UPI,24.2,5,5,Delivered
O719721,C104767,27-10-2025,Bengaluru,UPI,24.1,4,25,Delivered
O709346,C102248,15-10-2024,Pune,COD,30.4,,25,Delivered
O708647,C102102,06-11-2024,Mumbai,COD,28.5,3.5,15,Delivered
O703776,C100942,09-11-2025,Bengaluru,Card,19.9,5,20,Delivered
O708167,C101974,06-10-2024,Delhi,UPI,30.7,4,5,Delivered
O721643,C105219,14-06-2025,Bengaluru,UPI,19.7,4,15,Delivered
O721965,C105316,02-11-2025,Delhi,UPI,23.6,5,20,Delivered
O705822,C101412,11-10-2025,Bengaluru,COD,30.8,4.5,40,Delivered
O723223,C105611,09-08-2025,Pune,UPI,10.8,5,5,Cancelled
O705823,C101412,20-12-2025,Bengaluru,UPI,27.7,4,10,Delivered
O722246,C105387,17-02-2025,Bengaluru,UPI,32.2,4,0,Delivered
O710123,C102448,09-12-2024,Bengaluru,UPI,23.8,4,10,Delivered
O705238,C101265,28-04-2025,Bengaluru,COD,15.7,5,10,Delivered
O708272,C101996,02-10-2025,Mumbai,Wallet,27.5,4,20,Delivered
O718780,C104539,20-09-2025,Chennai,UPI,6,5,10,Delivered
O716355,C103961,03-07-2025,Bengaluru,UPI,18.3,4,0,Delivered
